št,avg speed,dolžina,težavnost,točke terena,skupni vzpon
1,41.55,182,3,166,3221
2,43.726,208.9,2,141,2949
3,40.989,193.5,2,68,2667
4,41.09,181.8,1,20,1427
5,41.17,162.7,4,239,3652
6,37.083,144.9,5,310,3894
7,45.013,169.9,1,7,808
8,47.704,200.7,2,61,1996
9,42.144,182.4,5,273,3441
10,43.136,167.2,2,118,3151
11,44.62,179.3,2,34,1873
12,43.712,168.8,2,147,3120
13,41.853,137.8,5,260,2413
14,38.149,151.8,4,308,4281
15,38.255,179,5,335,4483
16,41.227,22.4,5,109,636
17,34.386,165.7,4,445,5399
18,44.951,184.9,1,18,1216
19,49.13,172.8,2,50,1934
20,38.64,133.5,4,303,3471
21,39.19,115.1,1,14,577
